player_clean,wiki_total_views,importance_proxy
bob hansen,122935.0,12570.7
bob harris,,6165.6
bob harrison,,16940.8
bob hogsett,,161.0
bob hopkins,,5404.5
bob houbregs,,10457.5
bob hubbard,,61.0
bob kauffman,,14124.9
bob kinney,,188.0
bob knight,,31.1
bob lackey,,1270.9
bob lanier,,35422.8
bob lavoy,,7061.400000000001
bob lochmueller,,864.5
bob love,,27784.9
bob martin,,602.8
bob mcadoo,,34815.0
bob mccann,,2564.1
bob mcintyre,,572.8
bob mcneill,,2446.6
bob miller,,10.1
bob mullens,,112.1
bob naber,,14.9
bob nash,,2970.2000000000003
bob netolicky,83768.0,22946.2
bob o'brien,,69.6
bob peterson,,1514.6
bob pettit,,31618.1
bob portman,,3162.4
bob priddy,,165.0
bob quick,,2469.9
bob rensberger,,2.9
bob riedy,4692.0,354.0
bob riley,,46.0
bob royer,,42.0
bob rule,,15100.1
bob santini,,27.1
bob schafer,,1440.6999999999998
bob shea,,42.6
bob sims,,2841.8
bob sura,,18040.5
bob thornton,,4307.5
bob tough,,109.6
bob verga,,15086.4
bob warlick,,4421.0
bob warren,,14806.9
bob weiss,,19650.6
bob wiesenhahn,,385.3
bob wilkerson,,15426.6
bob williams,,217.5
bob wilson,,1371.2
bob wood,,5.8
bob woollard,,253.1
boban marjanović,,4350.3
bobby brown,,3404.2000000000003
bobby cattage,,599.7
bobby cook,,52.9
bobby croft,,1600.8
bobby edmonds,,1427.4
bobby fields,,146.2
bobby hooper,,1010.1
bobby hurley,,5368.8
bobby jackson,210341.0,19051.6
bobby jones,44329.0,28340.9
bobby lewis,155033.0,4559.2
bobby lloyd,4498.0,2483.3
bobby phills,,13927.5
bobby portis,,18640.8
bobby rascoe,8800.0,3051.9
bobby simmons,,12002.8
bobby smith,,149.7
bobby wanzer,,12761.0
bobby washington,,1915.2
bobby watson,,1529.8
bobby wilson,,3274.1
bobi klintman,,133.0
bogdan bogdanović,,16712.7
bojan bogdanović,,25354.8
bol bol,,2958.1000000000004
bones hyland,,6024.0
bones mckinney,,1460.0
boniface n'dong,,175.1
bonzi wells,,19344.7
bonzie colson,,106.2
boo ellis,,1994.1
boris diaw,,34222.7
boris nachamkin,,65.0
boštjan nachbar,,7905.8
bracey wright,,351.6
brad branson,,928.9
brad daugherty,,20663.3
brad davis,,23941.1
brad holland,,986.8
brad lohaus,,15026.1
brad miller,,30030.9
brad sellers,,8320.3
brad wanamaker,,4738.3
brad wright,,160.60000000000002
bradley beal,,28569.9
brady walker,,1002.7
brandan wright,,9770.4
branden carlson,,811.2
branden dawson,,35.0
brandin knight,,4.0
brandin podziemski,1521483.0,6253.8
brandon armstrong,,805.4000000000001
brandon bass,,17216.100000000002
brandon boston jr.,710438.0,2493.0
brandon clarke,,6753.0
brandon davies,,1525.3
brandon goodwin,,1742.7
brandon hunter,,697.6
brandon ingram,,19534.5
brandon jennings,,20243.0
brandon knight,,17031.4
brandon miller,,5448.6
brandon paul,,640.3
brandon roy,,11940.7
brandon rush,,11057.8
brandon sampson,,227.9
brandon williams,,3026.9
brant weidner,,45.9
braxton key,169131.0,522.4
brendan haywood,,21982.5
brendan mccann,,371.4
brent barry,2366681.0,26315.1
brent price,,7439.4
brent scott,,70.9
brett szabo,20365.0,731.7
brett vroman,,104.1
brevin knight,,21555.0
brian bowen,,57.8
brian brunkhorst,,59.2
brian cardinal,,6951.5
brian cook,,7269.1
brian davis,,441.7
brian evans,,2328.9
brian grant,,22233.800000000003
brian heaney,,84.2
brian howard,,1708.1999999999998
brian mahoney,,199.6
brian martin,,57.7
brian oliver,,1298.4
brian quinnett,19063.0,2033.2
brian roberts,,6051.0
brian rowsom,,1176.6
brian scalabrine,,7298.400000000001
brian shaw,,25713.8
brian skinner,,13534.2
brian taylor,,19811.5
brian winters,,20634.4
briante weber,80412.0,1313.0
brice johnson,,244.4
brice sensabaugh,,3957.5
britton johnsen,,401.6
brodric thomas,,933.9
bronny james,,624.5
brook lopez,,36460.0
brook steppe,,3100.8
brooks barnhizer,,388.5
brooks thompson,,3204.8
bruce bowen,,25923.3
bruce brown,,16835.1
bruce douglas,,105.8
bruce flowers,,754.1
bruce hale,,207.5
bruce kuczenski,,266.6
bruce seals,29930.0,7816.9
bruce spraggins,5863.0,1664.3
bruno caboclo,,1792.5
bruno fernando,,3175.6
bruno šundov,,662.2
bryan warrick,,3270.9
bryant reeves,1172134.0,12474.6
bryant stith,,17037.4
bryce cotton,,267.7
bryce dejean-jones,,293.2
bryce drew,,4214.1
bryce mcgowens,,2741.6
bryn forbes,,10385.9
bryon russell,,20705.4
bub carrington,,4889.6
bubba wells,,433.9
bubba wilson,,158.6
bubbles hawkins,,2112.3
buck johnson,,12376.4
buck sydnor,,14.9
buck williams,,43912.8
bucky bockhorn,,15272.9
bucky mcconnell,,311.5
bud acton,,218.1
bud grant,,97.1
bud koper,,686.0
bud ogden,,564.7
bud olsen,,6843.3
bud palmer,,166.5
bud stallworth,,5800.3
buddy boeheim,,212.7
buddy hield,,29478.1
buddy jeannette,,154.7
buddy o'grady,,194.1
bulbs ehlers,,102.0
butch beard,,16711.0
butch booker,3562.0,233.4
butch carter,,7259.0
butch feher,,536.8
butch graves,,14.9
butch joyner,,7.0
butch lee,,3865.4
butch van breda kolff,,184.4
byron beck,,20001.4
byron dinkins,,716.9000000000001
byron houston,,2890.6
byron irvin,,938.7
byron mullens,,4093.1
byron scott,,31321.3
c.j. kupec,,1737.3
c.j. miles,,19079.3
c.j. watson,,12722.0
c.j. wilcox,,441.8
c.j. williams,,888.7
cade cunningham,,9482.8
cal bowdler,,1526.3000000000002
cal christensen,,4308.2
cal ramsey,,441.2
calbert cheaney,445407.0,22852.4
caldwell jones,,39214.4
caleb houstan,,2679.8
caleb love,,1062.3
caleb martin,12472.0,10059.8
caleb swanigan,,1242.3
calvin booth,,6409.400000000001
calvin fowler,15162.0,1314.1
calvin garrett,,3176.1
calvin graham,,60.0
calvin murphy,,31708.9
calvin natt,,22810.6
cam christie,,606.9
cam reddish,,8224.4
cam spencer,,2071.1
cam thomas,,7044.5
cam whitmore,,2184.2
cameron bairstow,313463.0,202.7
cameron johnson,,12342.2
cameron mcgriff,,49.1
cameron oliver,,136.4
cameron payne,,11876.4
cameron reynolds,,368.2
campy russell,,17392.7
carey scurry,45435.0,3052.9
caris levert,,21365.4
carl bailey,,8.0
carl braun,,19261.3
carl fuller,,1291.1999999999998
carl henry,,177.2
carl herrera,,8847.1
carl kilpatrick,,8.0
carl landry,,16724.3
carl mcnulty,,14.9
carl meinhold,,150.3
carl nicks,,3908.3
carl shaeffer,4151.0,53.7
carl thomas,19004.0,1067.7
carldell johnson,,134.0
carlik jones,,118.7
carlos arroyo,,15694.6
carlos boozer,,27865.3
carlos clark,,782.6
carlos delfino,,12116.9
carlos rogers,,6361.9
carlos terry,,1174.0
carlton mckinney,,121.3
carmelo anthony,20463810.0,47757.9
caron butler,,33615.4
carrick felix,,45.0
carroll hooser,,776.9
carsen edwards,,777.8
carter bryant,,890.1
cartier martin,,4935.9
casey jacobsen,,7497.8
casey shaw,62500.0,22.8
cason wallace,,5859.5
casper ware,338836.0,125.2
