season,league,round,winner,winner_wins,loser,loser_wins,Favorite,Underdog
2019,NBA,Western Conf Semifinals,Golden State Warriors (1),4,Houston Rockets (4),2,GSW (-280),HOU (+240)
2019,NBA,Western Conf Semifinals,Portland Trail Blazers (3),4,Denver Nuggets (2),3,DEN (-145),POR (+125)
2019,NBA,Eastern Conf Finals,Toronto Raptors (2),4,Milwaukee Bucks (1),2,MIL (-270),TOR (+230)
2019,NBA,Western Conf Finals,Golden State Warriors (1),4,Portland Trail Blazers (3),0,GSW (-550),POR (+425)
2019,NBA,Finals,Toronto Raptors (2),4,Golden State Warriors (1),2,GSW (-270),TOR (+230)
2018,NBA,Eastern Conf First Round,Toronto Raptors (1),4,Washington Wizards (8),2,TOR (-630),WAS (+465)
2018,NBA,Eastern Conf First Round,Boston Celtics (2),4,Milwaukee Bucks (7),3,BOS (-150),MIL (+130)
2018,NBA,Eastern Conf First Round,Philadelphia 76ers (3),4,Miami Heat (6),1,PHI (-500),MIA (+400)
2018,NBA,Eastern Conf First Round,Cleveland Cavaliers (4),4,Indiana Pacers (5),3,CLE (-600),IND (+450)
2018,NBA,Western Conf First Round,Houston Rockets (1),4,Minnesota Timberwolves (8),1,HOU (-3000),MIN (+1500)
2018,NBA,Western Conf First Round,Golden State Warriors (2),4,San Antonio Spurs (7),1,GSW (-900),SAS (+600)
2018,NBA,Western Conf First Round,New Orleans Pelicans (6),4,Portland Trail Blazers (3),0,POR (-220),NOP (+180)
2018,NBA,Western Conf First Round,Utah Jazz (5),4,Oklahoma City Thunder (4),2,OKC (-140),UTA (+120)
2018,NBA,Western Conf Semifinals,Golden State Warriors (2),4,New Orleans Pelicans (6),1,GSW (-1050),NOP (+675)
2018,NBA,Western Conf Semifinals,Houston Rockets (1),4,Utah Jazz (5),1,HOU (-1500),UTA (+1000)
2018,NBA,Eastern Conf Semifinals,Boston Celtics (2),4,Philadelphia 76ers (3),1,PHI (-525),BOS (+415)
2018,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (4),4,Toronto Raptors (1),0,TOR (-190),CLE (+165)
2018,NBA,Eastern Conf Finals,Cleveland Cavaliers (4),4,Boston Celtics (2),3,CLE (-275),BOS (+235)
