season,league,round,winner,winner_wins,loser,loser_wins,Favorite,Underdog
1995,NBA,Western Conf First Round,Houston Rockets (6),3,Utah Jazz (3),2,UTA (-270),HOU (+210)
1995,NBA,Western Conf First Round,Los Angeles Lakers (5),3,Seattle SuperSonics (4),1,SEA (-400),LAL (+300)
1995,NBA,Western Conf First Round,Phoenix Suns (2),3,Portland Trail Blazers (7),0,PHO (-400),POR (+300)
1995,NBA,Western Conf First Round,San Antonio Spurs (1),3,Denver Nuggets (8),0,SAS (-600),DEN (+400)
1995,NBA,Eastern Conf Semifinals,Indiana Pacers (2),4,New York Knicks (3),3,NYK (-140),IND (+120)
1995,NBA,Eastern Conf Semifinals,Orlando Magic (1),4,Chicago Bulls (5),2,CHI (-185),ORL (+165)
1995,NBA,Western Conf Semifinals,Houston Rockets (6),4,Phoenix Suns (2),3,PHO (-270),HOU (+210)
1995,NBA,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Lakers (5),2,SAS (-600),LAL (+400)
1995,NBA,Eastern Conf Finals,Orlando Magic (1),4,Indiana Pacers (2),3,ORL (-200),IND (+170)
1995,NBA,Western Conf Finals,Houston Rockets (6),4,San Antonio Spurs (1),2,SAS (-330),HOU (+250)
1995,NBA,Finals,Houston Rockets (6),4,Orlando Magic (1),0,ORL (-150),HOU (+130)
1994,NBA,Eastern Conf First Round,Atlanta Hawks (1),3,Miami Heat (8),2,ATL (-360),MIA (+280)
1994,NBA,Eastern Conf First Round,Chicago Bulls (3),3,Cleveland Cavaliers (6),0,CHI (-250),CLE (+200)
1994,NBA,Eastern Conf First Round,Indiana Pacers (5),3,Orlando Magic (4),0,ORL (-170),IND (+150)
1994,NBA,Eastern Conf First Round,New York Knicks (2),3,New Jersey Nets (7),1,NYK (-360),NJN (+280)
1994,NBA,Western Conf First Round,Denver Nuggets (8),3,Seattle SuperSonics (1),2,SEA (-2000),DEN (+1400)
1994,NBA,Western Conf First Round,Houston Rockets (2),3,Portland Trail Blazers (7),1,HOU (-270),POR (+210)
1994,NBA,Western Conf First Round,Phoenix Suns (3),3,Golden State Warriors (6),0,PHO (-360),GSW (+280)
1994,NBA,Western Conf First Round,Utah Jazz (5),3,San Antonio Spurs (4),1,SAS (-200),UTA (+170)
1994,NBA,Eastern Conf Semifinals,Indiana Pacers (5),4,Atlanta Hawks (1),2,ATL (-160),IND (+140)
1994,NBA,Eastern Conf Semifinals,New York Knicks (2),4,Chicago Bulls (3),3,NYK (-180),CHI (+160)
1994,NBA,Western Conf Semifinals,Houston Rockets (2),4,Phoenix Suns (3),3,HOU (-120),PHO (+100)
1994,NBA,Western Conf Semifinals,Utah Jazz (5),4,Denver Nuggets (8),3,UTA (-650),DEN (+450)
1994,NBA,Eastern Conf Finals,New York Knicks (2),4,Indiana Pacers (5),3,NYK (-200),IND (+170)
1994,NBA,Western Conf Finals,Houston Rockets (2),4,Utah Jazz (5),1,HOU (-270),UTA (+210)
1994,NBA,Finals,Houston Rockets (2),4,New York Knicks (2),3,HOU (-220),NYK (+180)
1993,NBA,Eastern Conf First Round,Charlotte Hornets (5),3,Boston Celtics (4),1,BOS (-165),CHH (+145)
1993,NBA,Eastern Conf First Round,Chicago Bulls (2),3,Atlanta Hawks (7),0,CHI (-1200),ATL (+800)
1993,NBA,Eastern Conf First Round,Cleveland Cavaliers (3),3,New Jersey Nets (6),2,CLE (-700),NJN (+500)
1993,NBA,Eastern Conf First Round,New York Knicks (1),3,Indiana Pacers (8),1,NYK (-900),IND (+600)
1993,NBA,Western Conf First Round,Houston Rockets (2),3,Los Angeles Clippers (7),2,HOU (-600),LAC (+400)
1993,NBA,Western Conf First Round,Phoenix Suns (1),3,Los Angeles Lakers (8),2,PHO (-3000),LAL (+2000)
1993,NBA,Western Conf First Round,San Antonio Spurs (5),3,Portland Trail Blazers (4),1,POR (-250),SAS (+200)
1993,NBA,Western Conf First Round,Seattle SuperSonics (3),3,Utah Jazz (6),2,SEA (-350),UTA (+275)
1993,NBA,Eastern Conf Semifinals,Chicago Bulls (2),4,Cleveland Cavaliers (3),0,CHI (-500),CLE (+350)
1993,NBA,Eastern Conf Semifinals,New York Knicks (1),4,Charlotte Hornets (5),1,,
1993,NBA,Western Conf Semifinals,Phoenix Suns (1),4,San Antonio Spurs (5),2,PHO (-650),SAS (+450)
1993,NBA,Western Conf Semifinals,Seattle SuperSonics (3),4,Houston Rockets (2),3,SEA (-135),HOU (+115)
1993,NBA,Eastern Conf Finals,Chicago Bulls (2),4,New York Knicks (1),2,CHI (-150),NYK (+130)
1993,NBA,Western Conf Finals,Phoenix Suns (1),4,Seattle SuperSonics (3),3,PHO (-330),SEA (+250)
1993,NBA,Finals,Chicago Bulls (2),4,Phoenix Suns (1),2,CHI (-240),PHO (+190)
1992,NBA,Eastern Conf First Round,Boston Celtics (2),3,Indiana Pacers (7),0,BOS (-550),IND (+350)
1992,NBA,Eastern Conf First Round,Chicago Bulls (1),3,Miami Heat (8),0,CHI (-10000),MIA (+7500)
1992,NBA,Eastern Conf First Round,Cleveland Cavaliers (3),3,New Jersey Nets (6),1,CLE (-850),NJN (+550)
1992,NBA,Eastern Conf First Round,New York Knicks (4),3,Detroit Pistons (5),2,NYK (-160),DET (+120)
1992,NBA,Western Conf First Round,Phoenix Suns (4),3,San Antonio Spurs (5),0,PHO (-1500),SAS (+1000)
1992,NBA,Western Conf First Round,Portland Trail Blazers (1),3,Los Angeles Lakers (8),1,POR (-2000),LAL (+1500)
1992,NBA,Western Conf First Round,Seattle SuperSonics (6),3,Golden State Warriors (3),1,GSW (-270),SEA (+210)
1992,NBA,Western Conf First Round,Utah Jazz (2),3,Los Angeles Clippers (7),2,UTA (-450),LAC (+325)
1992,NBA,Eastern Conf Semifinals,Chicago Bulls (1),4,New York Knicks (4),3,CHI (-2500),NYK (+1700)
1992,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (3),4,Boston Celtics (2),3,CLE (-170),BOS (+130)
1992,NBA,Western Conf Semifinals,Portland Trail Blazers (1),4,Phoenix Suns (4),1,POR (-500),PHO (+350)
1992,NBA,Western Conf Semifinals,Utah Jazz (2),4,Seattle SuperSonics (6),1,UTA (-200),SEA (+160)
1992,NBA,Eastern Conf Finals,Chicago Bulls (1),4,Cleveland Cavaliers (3),2,CHI (-650),CLE (+450)
1992,NBA,Western Conf Finals,Portland Trail Blazers (1),4,Utah Jazz (2),2,POR (-360),UTA (+280)
1992,NBA,Finals,Chicago Bulls (1),4,Portland Trail Blazers (1),2,CHI (-250),POR (+200)
1991,NBA,Eastern Conf First Round,Boston Celtics (2),3,Indiana Pacers (7),2,BOS (-900),IND (+600)
1991,NBA,Eastern Conf First Round,Chicago Bulls (1),3,New York Knicks (8),0,CHI (-1200),NYK (+800)
1991,NBA,Eastern Conf First Round,Detroit Pistons (3),3,Atlanta Hawks (6),2,DET (-400),ATL (+300)
1991,NBA,Eastern Conf First Round,Philadelphia 76ers (5),3,Milwaukee Bucks (4),0,MIL (-180),PHI (+140)
1991,NBA,Western Conf First Round,Golden State Warriors (7),3,San Antonio Spurs (2),1,SAS (-500),GSW (+350)
1991,NBA,Western Conf First Round,Los Angeles Lakers (3),3,Houston Rockets (6),0,LAL (-360),HOU (+280)
1991,NBA,Western Conf First Round,Portland Trail Blazers (1),3,Seattle SuperSonics (8),2,POR (-1200),SEA (+800)
1991,NBA,Western Conf First Round,Utah Jazz (5),3,Phoenix Suns (4),1,PHO (-360),UTA (+280)
1991,NBA,Eastern Conf Semifinals,Chicago Bulls (1),4,Philadelphia 76ers (5),1,CHI (-500),PHI (+350)
1991,NBA,Eastern Conf Semifinals,Detroit Pistons (3),4,Boston Celtics (2),2,BOS (-270),DET (+210)
1991,NBA,Western Conf Semifinals,Los Angeles Lakers (3),4,Golden State Warriors (7),1,LAL (-800),GSW (+550)
1991,NBA,Western Conf Semifinals,Portland Trail Blazers (1),4,Utah Jazz (5),1,POR (-650),UTA (+450)
1991,NBA,Eastern Conf Finals,Chicago Bulls (1),4,Detroit Pistons (3),0,CHI (-270),DET (+210)
1991,NBA,Western Conf Finals,Los Angeles Lakers (3),4,Portland Trail Blazers (1),2,POR (-190),LAL (+150)
1991,NBA,Finals,Chicago Bulls (1),4,Los Angeles Lakers (3),1,CHI (-200),LAL (+170)
1990,NBA,Eastern Conf First Round,Chicago Bulls (3),3,Milwaukee Bucks (6),1,CHI (-650),MIL (+450)
1990,NBA,Eastern Conf First Round,Detroit Pistons (1),3,Indiana Pacers (8),0,DET (-1200),IND (+800)
1990,NBA,Eastern Conf First Round,New York Knicks (5),3,Boston Celtics (4),2,BOS (-450),NYK (+325)
1990,NBA,Eastern Conf First Round,Philadelphia 76ers (2),3,Cleveland Cavaliers (7),2,PHI (-450),CLE (+325)
1990,NBA,Western Conf First Round,Los Angeles Lakers (1),3,Houston Rockets (8),1,LAL (-1200),HOU (+800)
1990,NBA,Western Conf First Round,Phoenix Suns (5),3,Utah Jazz (4),2,UTA (-160),PHO (+140)
1990,NBA,Western Conf First Round,Portland Trail Blazers (3),3,Dallas Mavericks (6),0,POR (-600),DAL (+400)
1990,NBA,Western Conf First Round,San Antonio Spurs (2),3,Denver Nuggets (7),0,SAS (-500),DEN (+350)
1990,NBA,Eastern Conf Semifinals,Chicago Bulls (3),4,Philadelphia 76ers (2),1,CHI (-160),PHI (+140)
1990,NBA,Eastern Conf Semifinals,Detroit Pistons (1),4,New York Knicks (5),1,DET (-1500),NYK (+1000)
1990,NBA,Western Conf Semifinals,Phoenix Suns (5),4,Los Angeles Lakers (1),1,LAL (-700),PHO (+500)
1990,NBA,Western Conf Semifinals,Portland Trail Blazers (3),4,San Antonio Spurs (2),3,POR (-200),SAS (+170)
1990,NBA,Eastern Conf Finals,Detroit Pistons (1),4,Chicago Bulls (3),3,DET (-280),CHI (+220)
1990,NBA,Western Conf Finals,Portland Trail Blazers (3),4,Phoenix Suns (5),2,PHO (-120),POR (+100)
1990,NBA,Finals,Detroit Pistons (1),4,Portland Trail Blazers (3),1,DET (-400),POR (+300)
1989,NBA,Eastern Conf First Round,Chicago Bulls (6),3,Cleveland Cavaliers (3),2,CLE (-500),CHI (+350)
1989,NBA,Eastern Conf First Round,Detroit Pistons (1),3,Boston Celtics (8),0,DET (-2000),BOS (+1500)
1989,NBA,Eastern Conf First Round,Milwaukee Bucks (5),3,Atlanta Hawks (4),2,ATL (-250),MIL (+200)
1989,NBA,Eastern Conf First Round,New York Knicks (2),3,Philadelphia 76ers (7),0,NYK (-350),PHI (+275)
1989,NBA,Western Conf First Round,Golden State Warriors (7),3,Utah Jazz (2),0,UTA (-1000),GSW (+700)
1989,NBA,Western Conf First Round,Los Angeles Lakers (1),3,Portland Trail Blazers (8),0,LAL (-2500),POR (+2000)
1989,NBA,Western Conf First Round,Phoenix Suns (3),3,Denver Nuggets (6),0,PHO (-1000),DEN (+700)
1989,NBA,Western Conf First Round,Seattle SuperSonics (4),3,Houston Rockets (5),1,SEA (-280),HOU (+230)
1989,NBA,Eastern Conf Semifinals,Chicago Bulls (6),4,New York Knicks (2),2,NYK (-450),CHI (+300)
1989,NBA,Eastern Conf Semifinals,Detroit Pistons (1),4,Milwaukee Bucks (5),0,DET (-700),MIL (+500)
1989,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Seattle SuperSonics (4),0,LAL (-700),SEA (+500)
1989,NBA,Western Conf Semifinals,Phoenix Suns (3),4,Golden State Warriors (7),1,PHO (-850),GSW (+550)
1989,NBA,Eastern Conf Finals,Detroit Pistons (1),4,Chicago Bulls (6),2,DET (-650),CHI (+450)
1989,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Phoenix Suns (3),0,LAL (-300),PHO (+240)
1989,NBA,Finals,Detroit Pistons (1),4,Los Angeles Lakers (1),0,LAL (-120),DET (+100)
1988,NBA,Eastern Conf First Round,Atlanta Hawks (4),3,Milwaukee Bucks (5),2,ATL (-450),MIL (+300)
1988,NBA,Eastern Conf First Round,Boston Celtics (1),3,New York Knicks (8),1,BOS (-1200),NYK (+800)
1988,NBA,Eastern Conf First Round,Chicago Bulls (3),3,Cleveland Cavaliers (6),2,CHI (-300),CLE (+240)
1988,NBA,Eastern Conf First Round,Detroit Pistons (2),3,Washington Bullets (7),2,DET (-800),WSB (+550)
1988,NBA,Western Conf First Round,Dallas Mavericks (3),3,Houston Rockets (6),1,DAL (-400),HOU (+300)
1988,NBA,Western Conf First Round,Denver Nuggets (2),3,Seattle SuperSonics (7),2,DEN (-500),SEA (+350)
1988,NBA,Western Conf First Round,Los Angeles Lakers (1),3,San Antonio Spurs (8),0,LAL (-3000),SAS (+2000)
1988,NBA,Western Conf First Round,Utah Jazz (5),3,Portland Trail Blazers (4),1,POR (-250),UTA (+200)
1988,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Atlanta Hawks (4),3,BOS (-500),ATL (+300)
1988,NBA,Eastern Conf Semifinals,Detroit Pistons (2),4,Chicago Bulls (3),1,DET (-240),CHI (+200)
1988,NBA,Western Conf Semifinals,Dallas Mavericks (3),4,Denver Nuggets (2),2,DEN (-170),DAL (+150)
1988,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Utah Jazz (5),3,,
1988,NBA,Eastern Conf Finals,Detroit Pistons (2),4,Boston Celtics (1),2,BOS (-250),DET (+200)
1988,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Dallas Mavericks (3),3,LAL (-450),DAL (+300)
1988,NBA,Finals,Los Angeles Lakers (1),4,Detroit Pistons (2),3,LAL (-260),DET (+210)
1987,NBA,Eastern Conf First Round,Atlanta Hawks (2),3,Indiana Pacers (7),1,,
1987,NBA,Eastern Conf First Round,Boston Celtics (1),3,Chicago Bulls (8),0,,
1987,NBA,Eastern Conf First Round,Detroit Pistons (3),3,Washington Bullets (6),0,,
1987,NBA,Eastern Conf First Round,Milwaukee Bucks (4),3,Philadelphia 76ers (5),2,,
1987,NBA,Western Conf First Round,Golden State Warriors (5),3,Utah Jazz (4),2,,
1987,NBA,Western Conf First Round,Houston Rockets (6),3,Portland Trail Blazers (3),1,,
1987,NBA,Western Conf First Round,Los Angeles Lakers (1),3,Denver Nuggets (8),0,,
1987,NBA,Western Conf First Round,Seattle SuperSonics (7),3,Dallas Mavericks (2),1,,
1987,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Milwaukee Bucks (4),3,,
1987,NBA,Eastern Conf Semifinals,Detroit Pistons (3),4,Atlanta Hawks (2),1,,
1987,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Golden State Warriors (5),1,,
1987,NBA,Western Conf Semifinals,Seattle SuperSonics (7),4,Houston Rockets (6),2,,
1987,NBA,Eastern Conf Finals,Boston Celtics (1),4,Detroit Pistons (3),3,,
1987,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Seattle SuperSonics (7),0,,
1987,NBA,Finals,Los Angeles Lakers (1),4,Boston Celtics (1),2,,
1986,NBA,Eastern Conf First Round,Atlanta Hawks (4),3,Detroit Pistons (5),1,,
1986,NBA,Eastern Conf First Round,Boston Celtics (1),3,Chicago Bulls (8),0,,
1986,NBA,Eastern Conf First Round,Milwaukee Bucks (2),3,New Jersey Nets (7),0,,
1986,NBA,Eastern Conf First Round,Philadelphia 76ers (3),3,Washington Bullets (6),2,,
1986,NBA,Western Conf First Round,Dallas Mavericks (4),3,Utah Jazz (5),1,,
1986,NBA,Western Conf First Round,Denver Nuggets (3),3,Portland Trail Blazers (6),1,,
1986,NBA,Western Conf First Round,Houston Rockets (2),3,Sacramento Kings (7),0,,
1986,NBA,Western Conf First Round,Los Angeles Lakers (1),3,San Antonio Spurs (8),0,,
1986,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Atlanta Hawks (4),1,,
1986,NBA,Eastern Conf Semifinals,Milwaukee Bucks (2),4,Philadelphia 76ers (3),3,,
1986,NBA,Western Conf Semifinals,Houston Rockets (2),4,Denver Nuggets (3),2,,
1986,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Dallas Mavericks (4),2,,
1986,NBA,Eastern Conf Finals,Boston Celtics (1),4,Milwaukee Bucks (2),0,,
1986,NBA,Western Conf Finals,Houston Rockets (2),4,Los Angeles Lakers (1),1,,
1986,NBA,Finals,Boston Celtics (1),4,Houston Rockets (2),2,,
1985,NBA,Eastern Conf First Round,Boston Celtics (1),3,Cleveland Cavaliers (8),1,,
1985,NBA,Eastern Conf First Round,Detroit Pistons (4),3,New Jersey Nets (5),0,,
1985,NBA,Eastern Conf First Round,Milwaukee Bucks (2),3,Chicago Bulls (7),1,,
1985,NBA,Eastern Conf First Round,Philadelphia 76ers (3),3,Washington Bullets (6),1,,
1985,NBA,Western Conf First Round,Denver Nuggets (2),3,San Antonio Spurs (7),2,,
1985,NBA,Western Conf First Round,Los Angeles Lakers (1),3,Phoenix Suns (8),0,,
1985,NBA,Western Conf First Round,Portland Trail Blazers (5),3,Dallas Mavericks (4),1,,
1985,NBA,Western Conf First Round,Utah Jazz (6),3,Houston Rockets (3),2,,
1985,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Detroit Pistons (4),2,,
1985,NBA,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Milwaukee Bucks (2),0,,
1985,NBA,Western Conf Semifinals,Denver Nuggets (2),4,Utah Jazz (6),1,,
1985,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Portland Trail Blazers (5),1,,
1985,NBA,Eastern Conf Finals,Boston Celtics (1),4,Philadelphia 76ers (3),1,,
1985,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Denver Nuggets (2),1,,
1985,NBA,Finals,Los Angeles Lakers (1),4,Boston Celtics (1),2,,
1984,NBA,Eastern Conf First Round,Boston Celtics (1),3,Washington Bullets (8),1,,
1984,NBA,Eastern Conf First Round,Milwaukee Bucks (2),3,Atlanta Hawks (7),2,,
1984,NBA,Eastern Conf First Round,New Jersey Nets (6),3,Philadelphia 76ers (3),2,,
1984,NBA,Eastern Conf First Round,New York Knicks (5),3,Detroit Pistons (4),2,,
1984,NBA,Western Conf First Round,Dallas Mavericks (4),3,Seattle SuperSonics (5),2,,
1984,NBA,Western Conf First Round,Los Angeles Lakers (1),3,Kansas City Kings (8),0,,
1984,NBA,Western Conf First Round,Phoenix Suns (6),3,Portland Trail Blazers (3),2,,
1984,NBA,Western Conf First Round,Utah Jazz (2),3,Denver Nuggets (7),2,,
1984,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,New York Knicks (5),3,,
1984,NBA,Eastern Conf Semifinals,Milwaukee Bucks (2),4,New Jersey Nets (6),2,,
1984,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Dallas Mavericks (4),1,,
1984,NBA,Western Conf Semifinals,Phoenix Suns (6),4,Utah Jazz (2),2,,
1984,NBA,Eastern Conf Finals,Boston Celtics (1),4,Milwaukee Bucks (2),1,,
1984,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Phoenix Suns (6),2,,
1984,NBA,Finals,Boston Celtics (1),4,Los Angeles Lakers (1),3,,
1983,NBA,Eastern Conf First Round,Boston Celtics (3),2,Atlanta Hawks (6),1,,
1983,NBA,Eastern Conf First Round,New York Knicks (5),2,New Jersey Nets (4),0,,
1983,NBA,Western Conf First Round,Denver Nuggets (6),2,Phoenix Suns (3),1,,
1983,NBA,Western Conf First Round,Portland Trail Blazers (5),2,Seattle SuperSonics (4),0,,
1983,NBA,Eastern Conf Semifinals,Milwaukee Bucks (2),4,Boston Celtics (3),0,,
1983,NBA,Eastern Conf Semifinals,Philadelphia 76ers (1),4,New York Knicks (5),0,,
1983,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Portland Trail Blazers (5),1,,
1983,NBA,Western Conf Semifinals,San Antonio Spurs (2),4,Denver Nuggets (6),1,,
1983,NBA,Eastern Conf Finals,Philadelphia 76ers (1),4,Milwaukee Bucks (2),1,,
1983,NBA,Western Conf Finals,Los Angeles Lakers (1),4,San Antonio Spurs (2),2,,
1983,NBA,Finals,Philadelphia 76ers (1),4,Los Angeles Lakers (1),0,,
1982,NBA,Eastern Conf First Round,Philadelphia 76ers (3),2,Atlanta Hawks (6),0,,
1982,NBA,Eastern Conf First Round,Washington Bullets (5),2,New Jersey Nets (4),0,,
1982,NBA,Western Conf First Round,Phoenix Suns (5),2,Denver Nuggets (4),1,,
1982,NBA,Western Conf First Round,Seattle SuperSonics (3),2,Houston Rockets (6),1,,
1982,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Washington Bullets (5),1,,
1982,NBA,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Milwaukee Bucks (2),2,,
1982,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Phoenix Suns (5),0,,
1982,NBA,Western Conf Semifinals,San Antonio Spurs (2),4,Seattle SuperSonics (3),1,,
1982,NBA,Eastern Conf Finals,Philadelphia 76ers (3),4,Boston Celtics (1),3,,
1982,NBA,Western Conf Finals,Los Angeles Lakers (1),4,San Antonio Spurs (2),0,,
1982,NBA,Finals,Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,,
1981,NBA,Eastern Conf First Round,Chicago Bulls (5),2,New York Knicks (4),0,,
1981,NBA,Eastern Conf First Round,Philadelphia 76ers (3),2,Indiana Pacers (6),0,,
1981,NBA,Western Conf First Round,Houston Rockets (6),2,Los Angeles Lakers (3),1,,
1981,NBA,Western Conf First Round,Kansas City Kings (5),2,Portland Trail Blazers (4),1,,
1981,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Chicago Bulls (5),0,,
1981,NBA,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Milwaukee Bucks (2),3,,
1981,NBA,Western Conf Semifinals,Houston Rockets (6),4,San Antonio Spurs (2),3,,
1981,NBA,Western Conf Semifinals,Kansas City Kings (5),4,Phoenix Suns (1),3,,
1981,NBA,Eastern Conf Finals,Boston Celtics (1),4,Philadelphia 76ers (3),3,,
1981,NBA,Western Conf Finals,Houston Rockets (6),4,Kansas City Kings (5),1,,
1981,NBA,Finals,Boston Celtics (1),4,Houston Rockets (6),2,,
1980,NBA,Eastern Conf First Round,Houston Rockets (4),2,San Antonio Spurs (5),1,,
1980,NBA,Eastern Conf First Round,Philadelphia 76ers (3),2,Washington Bullets (6),0,,
1980,NBA,Western Conf First Round,Phoenix Suns (4),2,Kansas City Kings (5),1,,
1980,NBA,Western Conf First Round,Seattle SuperSonics (3),2,Portland Trail Blazers (6),1,,
1980,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Houston Rockets (4),0,,
1980,NBA,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Atlanta Hawks (2),1,,
1980,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Phoenix Suns (4),1,,
1980,NBA,Western Conf Semifinals,Seattle SuperSonics (3),4,Milwaukee Bucks (2),3,,
1980,NBA,Eastern Conf Finals,Philadelphia 76ers (3),4,Boston Celtics (1),1,,
1980,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Seattle SuperSonics (3),1,,
1980,NBA,Finals,Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,,
1979,NBA,Eastern Conf First Round,Atlanta Hawks (5),2,Houston Rockets (4),0,,
1979,NBA,Eastern Conf First Round,Philadelphia 76ers (3),2,New Jersey Nets (6),0,,
1979,NBA,Western Conf First Round,Los Angeles Lakers (5),2,Denver Nuggets (4),1,,
1979,NBA,Western Conf First Round,Phoenix Suns (3),2,Portland Trail Blazers (6),1,,
1979,NBA,Eastern Conf Semifinals,San Antonio Spurs (2),4,Philadelphia 76ers (3),3,,
1979,NBA,Eastern Conf Semifinals,Washington Bullets (1),4,Atlanta Hawks (5),3,,
1979,NBA,Western Conf Semifinals,Phoenix Suns (3),4,Kansas City Kings (2),1,,
1979,NBA,Western Conf Semifinals,Seattle SuperSonics (1),4,Los Angeles Lakers (5),1,,
1979,NBA,Eastern Conf Finals,Washington Bullets (1),4,San Antonio Spurs (2),3,,
1979,NBA,Western Conf Finals,Seattle SuperSonics (1),4,Phoenix Suns (3),3,,
1979,NBA,Finals,Seattle SuperSonics (1),4,Washington Bullets (1),1,,
1978,NBA,Eastern Conf First Round,New York Knicks (5),2,Cleveland Cavaliers (4),0,,
1978,NBA,Eastern Conf First Round,Washington Bullets (3),2,Atlanta Hawks (6),0,,
1978,NBA,Western Conf First Round,Milwaukee Bucks (6),2,Phoenix Suns (3),0,,
1978,NBA,Western Conf First Round,Seattle SuperSonics (4),2,Los Angeles Lakers (5),1,,
1978,NBA,Eastern Conf Semifinals,Philadelphia 76ers (1),4,New York Knicks (5),0,,
1978,NBA,Eastern Conf Semifinals,Washington Bullets (3),4,San Antonio Spurs (2),2,,
1978,NBA,Western Conf Semifinals,Denver Nuggets (2),4,Milwaukee Bucks (6),3,,
1978,NBA,Western Conf Semifinals,Seattle SuperSonics (4),4,Portland Trail Blazers (1),2,,
1978,NBA,Eastern Conf Finals,Washington Bullets (3),4,Philadelphia 76ers (1),2,,
1978,NBA,Western Conf Finals,Seattle SuperSonics (4),4,Denver Nuggets (2),2,,
1978,NBA,Finals,Washington Bullets (3),4,Seattle SuperSonics (4),3,,
1977,NBA,Eastern Conf First Round,Boston Celtics (4),2,San Antonio Spurs (5),0,,
1977,NBA,Eastern Conf First Round,Washington Bullets (3),2,Cleveland Cavaliers (6),1,,
1977,NBA,Western Conf First Round,Golden State Warriors (4),2,Detroit Pistons (5),1,,
1977,NBA,Western Conf First Round,Portland Trail Blazers (3),2,Chicago Bulls (6),1,,
1977,NBA,Eastern Conf Semifinals,Houston Rockets (2),4,Washington Bullets (3),2,,
1977,NBA,Eastern Conf Semifinals,Philadelphia 76ers (1),4,Boston Celtics (4),3,,
1977,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Golden State Warriors (4),3,,
1977,NBA,Western Conf Semifinals,Portland Trail Blazers (3),4,Denver Nuggets (2),2,,
1977,NBA,Eastern Conf Finals,Philadelphia 76ers (1),4,Houston Rockets (2),2,,
1977,NBA,Western Conf Finals,Portland Trail Blazers (3),4,Los Angeles Lakers (1),0,,
1977,NBA,Finals,Portland Trail Blazers (3),4,Philadelphia 76ers (1),2,,
1976,NBA,Eastern Conf First Round,Buffalo Braves (5),2,Philadelphia 76ers (4),1,,
1976,NBA,Western Conf First Round,Detroit Pistons (5),2,Milwaukee Bucks (4),1,,
1976,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Buffalo Braves (5),2,,
1976,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,Washington Bullets (3),3,,
1976,NBA,Western Conf Semifinals,Golden State Warriors (1),4,Detroit Pistons (5),2,,
1976,NBA,Western Conf Semifinals,Phoenix Suns (3),4,Seattle SuperSonics (2),2,,
1976,NBA,Eastern Conf Finals,Boston Celtics (1),4,Cleveland Cavaliers (2),2,,
1976,NBA,Western Conf Finals,Phoenix Suns (3),4,Golden State Warriors (1),3,,
1976,NBA,Finals,Boston Celtics (1),4,Phoenix Suns (3),2,,
1976,ABA,First Round,Kentucky Colonels (4),2,Indiana Pacers (5),1,,
1976,ABA,Semifinals,Denver Nuggets (1),4,Kentucky Colonels (4),3,,
1976,ABA,Semifinals,New York Nets (2),4,San Antonio Spurs (3),3,,
1976,ABA,Finals,New York Nets (2),4,Denver Nuggets (1),2,,
1975,NBA,Eastern Conf First Round,Houston Rockets (4),2,New York Knicks (5),1,,
1975,NBA,Western Conf First Round,Seattle SuperSonics (4),2,Detroit Pistons (5),1,,
1975,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Houston Rockets (4),1,,
1975,NBA,Eastern Conf Semifinals,Washington Bullets (2),4,Buffalo Braves (3),3,,
1975,NBA,Western Conf Semifinals,Chicago Bulls (2),4,Kansas City-Omaha Kings (3),2,,
